Text,Link
Colorado Springs,"/wiki/Colorado_Springs,_Colorado"
wireless communication,/wiki/Wireless_communication
[8],#cite_note-9
General Conference on Weights and Measures,/wiki/General_Conference_on_Weights_and_Measures
International System of Units,/wiki/International_System_of_Units
magnetic flux density,/wiki/Magnetic_flux_density
tesla,/wiki/Tesla_(unit)
[9],#cite_note-10
Lika,/wiki/Lika
Yugoslav Wars,/wiki/Yugoslav_Wars
[10],#cite_note-tsbirthplace-11
Nikolai,/wiki/Nikolai_(disambiguation)
Slavonic-Serbian,/wiki/Slavonic-Serbian
Serb,/wiki/Serbs
Military Frontier,/wiki/Military_Frontier
Croatia,/wiki/Croatia
